SideEffect ID,Antibiotic ID,SE Name,Pattern,SE Description ,Reference ID
SE043,A002,Toxic Epidermal Necrolysis,Not Specified,"Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) is a severe skin reaction most often triggered by particular medications. Although Stevens-Johnson syndrome and toxic epidermal necrolysis were once thought to be separate conditions, they are now considered part of a continuum. Toxic Epidermal Necrolysis represents the more severe end.","R002
R153"
SE044,A002,Stevens-Johnson Syndrome,Not Specified,"Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) is a severe skin reaction most often triggered by particular medications. Although Stevens-Johnson syndrome and toxic epidermal necrolysis were once thought to be separate conditions, they are now considered part of a continuum. Stevens-Johnson Syndrome represents the less severe end of the disease spectrum.","R002
R153"
SE045,A002,Erythema Multiforme,Not Specified,Erythema Multiforme is an acute skin reaction that comes form an infection or another trigger. EM is a self-limiting condition. This means it usually resolves on its own without treatment.,"R002
R154"
SE046,A002,Skin Hyperpigmentation,Not Specified,"Skin pigmentation disorders affect the color of your skin. Your skin gets its color from a pigment called melanin. Special cells in the skin make melanin. When these cells become damaged or unhealthy, it affects melanin production. Some pigmentation disorders affect just patches of skin. Others affect your entire body.","R002
R155"
SE047,A002,Maculopapular Rashes,Not Specified,Maculopapular rash is a flat red rash.,"R002
R138"
SE049,A002,Exfoliative Dermatitis,Uncommon,"Erythroderma is one alternative name of Exfoliative dermatitis. It is widespread readness of the skin. It also accompanied by scaling, peeling, and flaking of the skin, and may include utching and hair loss.","R002
R139"
SE050,A002,Photosensitivity,Not Specified,Photosensitivity is an increased sensitivity to sunlight.,"R002
R156"
SE051,A002,Rise in BUN,Dose-Related,"A BUN, or blood urea nitrogen test, measures the amount of urea nitrogen in your blood. Urea nitrogen is a waste product that forms as your body breaks down proteins. It's carried in your blood and then removed by your kidneys when you urinate (pee).","R002
R140"
SE052,A002,Urticaria,Not Specified,Urticaria is also called as Hives. It is a red and sometimes itchy bumps on your skin.,"R002
R141"
SE053,A002,Angioneurotic Edema,Not Specified,"Angioneurotic Edema's alternative name is Angioedema. It is swelling that is similar to hives, but the swelling is under the skin instead of on the surface. ","R002
R142"
SE054,A002,Anaphylaxis,Not Specified,"Anaphylaxis is a seroius allergic reaction. It can began very quickly, and symptoms may be life-threatening. ","R002
R143"
SE056,A002,Serum Sickness,Not Specified,"Serum sickness is a reaction that is similar to an allergy. The immune reacts to medicines that contain proteins used to treat immune conditions. It can also react to antiserum, the liquid part of blood that contains antibodies given to a person to help protect them against germs or poisonous substances.","R002
R144"
SE057,A002,Pericarditis,Not Specified,Pericarditis is a condition in which the sac-like covering around the heart (pericardium) becomes inflamed.,"R002
R145"
SE058,A002,Exacerbation of Systemic Lupus Erythematosus,Not Specified,"Systemic Lupus Erythematosus is a chronic disease that causes inflammation in connective tissues, such as cartilage and the lining of blood vessels, which provide strength and flexibility to structures throughout the body.","R002
R146"
SE060,A002,Jarisch-Herxheimer Reaction,Not Specified,Jarisch-Herxheimer reaction has been reported in the setting of spirochete infections treated with doxycycline.,R002
SE061,A002,Hemolytic Anemia,Not Specified,Hemolytic anemia is a condition in which the body does not have enough healthy red blood cells. Red blood cells provide oxygen to body tissues.,"R002
R147"
SE062,A002,Thrombocytopenia,Not Specified,Thrombocytopenia means there is an abnormally low amount of platelets. Platelets are parts of the blood that help blood to clot. This condition is sometimes associated with abnormal bleeding.,"R002
R149"
SE063,A002,Neutropenia,Not Specified,"Neutropenia is a condition that increases the risk of repeated infections in affected individuals. People with this condition have an abnormally low level (deficiency) of neutrophils, a type of white blood cell that plays a role in inflammation and in fighting infection.","R002
R150"
SE064,A002,Eosinophilia,Not Specified,Eosinophils are a type of white blood cell. They help fight off infections and play a role in your body's immune response. They can also build up and cause inflammation.,"R002
R151"
SE066,A002,Intracranial Hypertension (Adults),Not Specified,Intracranial Hypertension is a rise in the pressure inside the skull that can result from or cause brain injury.,"R002
R157"
SE067,A002,Thyroid Discoloration,Not Specified,Brown-black microscopic discoloration of the thyroid gland.,R002
SE068,A003,Anorexia,Not Specified,"Anorexia is an eating disorder that causes people to weigh less than is considered healthy for their age and height, usually by excessive weight loss.","R003
R132"
SE069,A003,Nausea,Not Specified,"Nausea is when you feel sick to your stomach, as if you are going to throw up.","R003
R133"
SE070,A003,Vomiting,Not Specified,Vomiting is when you throw up.,"R003
R133"
SE071,A003,Diarrhea,Not Specified,"Diarrhea is loose, watery stools (bowel movements).","R003
R134"
SE072,A003,Glossitis,Not Specified,Glossitis is a problem in which the tongue is swollen and inflammed. This often makes the surface of the tongue appear smooth.,"R003
R135"
SE073,A003,Dysphagia,Not Specified,"Dysphagia is a term that means difficulty swallowing. Usually, when you swallow, food moves easily from your mouth, down your throat, and into your stomach.","R003
R136"
SE076,A003,Maculopapular Rashes,Uncommon,Maculopapular rash is a flat red rash.,"R003
R138"
SE078,A003,Exfoliative Dermatitis,Uncommon,"Erythroderma is one alternative name of Exfoliative dermatitis. It is widespread readness of the skin. It also accompanied by scaling, peeling, and flaking of the skin, and may include utching and hair loss.","R003
R139"
SE079,A003,Urticaria,Not Specified,Urticaria is also called as Hives. It is a red and sometimes itchy bumps on your skin.,"R003
R141"
SE080,A003,Angioneurotic Edema,Not Specified,"Angioneurotic Edema's alternative name is Angioedema. It is swelling that is similar to hives, but the swelling is under the skin instead of on the surface. ","R003
R142"
SE081,A003,Anaphylaxis,Not Specified,"Anaphylaxis is a seroius allergic reaction. It can began very quickly, and symptoms may be life-threatening. ","R003
R143"
SE083,A003,Pericarditis,Not Specified,Pericarditis is a condition in which the sac-like covering around the heart (pericardium) becomes inflamed.,"R003
R145"
SE084,A003,Exacerbation of Systemic Lupus Erythematosus,Not Specified,"Systemic Lupus Erythematosus is a chronic disease that causes inflammation in connective tissues, such as cartilage and the lining of blood vessels, which provide strength and flexibility to structures throughout the body.","R003
R146"
SE086,A003,Hemolytic Anemia,Not Specified,Hemolytic anemia is a condition in which the body does not have enough healthy red blood cells. Red blood cells provide oxygen to body tissues.,"R003
R147"
SE087,A003,Thrombocytopenia,Not Specified,Thrombocytopenia means there is an abnormally low amount of platelets. Platelets are parts of the blood that help blood to clot. This condition is sometimes associated with abnormal bleeding.,"R003
R149"
SE088,A003,Neutropenia,Not Specified,"Neutropenia is a condition that increases the risk of repeated infections in affected individuals. People with this condition have an abnormally low level (deficiency) of neutrophils, a type of white blood cell that plays a role in inflammation and in fighting infection.","R003
R150"
SE089,A003,Eosinophilia,Not Specified,Eosinophils are a type of white blood cell. They help fight off infections and play a role in your body's immune response. They can also build up and cause inflammation.,"R003
R151"
SE090,A004,Insomnia,Common,"Insomnia is trouble falling asleep, staying asleep (usually through the night), or waking up too early in the morning. Episodes of insomnia may come and go or be long-lasting.","R004
R158"
SE091,A004,Headache,Common,Headache is the most common form of pain. It's a major reason people miss days at work or school or visit the doctor.,"R004
R159"
SE092,A004,Dizziness,Common,"When you're dizzy, you may feel lightheaded, woozy, or disoriented. Diziness usually gets better by itself or is easily treated.","R004
R160"
SE093,A004,Dyspnea,Not Specified,Dyspnea is shortness of breath.,"R004
R161"
SE094,A004,Nausea,Common,"Nausea is when you feel sick to your stomach, as if you are going to throw up.","R004
R133"
SE095,A004,Diarrhea,Common,"Diarrhea is loose, watery stools (bowel movements).","R004
R134"
SE096,A004,Constipation,Common,"Constipation means having fewer than three bowel movements a week. The stool (poop) can be hard and dry. Sometimes it is painful to pass. At one time or another, almost everyone gets constipated. In most cases, it lasts a short time and is not serious.","R004
R162"
SE097,A004,Abdominal Pain,Not Specified,Abdominal pain is pain that you feel anywhere between your chest and groin. This is often referred to as the stomach region or belly.,"R004
R163"
SE098,A004,Vomiting,Not Specified,Vomiting is when you throw up.,"R004
R133"
SE099,A004,Dyspepsia,Not Specified,Dyspepsia is also called as Indigestion. It's a feeling of discomfort or a burning feeling in your upper abdomen. You may have heartburn or belch and feel bloated. ,"R004
R164"
SE100,A004,Rash,Not Specified,"A rash is an area of irritated or swollen skin. Many rashes are itchy, red, painful, and irritated. Some rashes can also lead to blisters or patches of raw skin.","R004
R165"
SE101,A004,Pruritus,Not Specified,Pruritus is an alternative name for Itching. It is a tingling or irritation of the skin that makes you want to scratch the area. Itching may occur all over the body or only in one location.,"R004
R166"
SE102,A004,Vaginitis,Not Specified,"Vaginitis, also called vulvovaginitis, is an inflammation or infection of the vagina. It can also affect the vulva, which is the external part of a woman's genitals. Vaginitis can cause itching, pain, discharge, and odor.","R004
R167"
SE103,A004,Edema,Not Specified,"Edema means swelling caused by fluid in your body's tissues. It usually occurs in the feet, ankles and legs, but it can involve your entire body.","R004
R168"
SE104,A004,Chest Pain,Not Specified,Chest pain is discomfort or pain that you feel anywhere along the front of your body between your neck and upper abdomen.,"R004
R189"
SE105,A004,Anemia,Not Specified,Anemia is also called iron poor blood. Anemia is a condition in which the body does not have enough healthy red blood cells. Red blood cells provide oxygen to body tissues.,"R004
R190"
SE106,A004,Thrombocytopenia,Not Specified,Thrombocytopenia means there is an abnormally low amount of platelets. Platelets are parts of the blood that help blood to clot. This condition is sometimes associated with abnormal bleeding.,"R004
R149"
SE108,A004,Hyperglycemia,Not Specified,"Hyperglycemia means high blood glucose. It most often affects people who have diabetes. When you have diabetes, your body doesn't make enough insulin or can't use it the right way. Too much glucose stays in your blood and doesn't reach your cells.","R004
R169"
SE109,A004,Hypoglycemia,Not Specified,Hypoglycemia means low glucose. It happens when the level of glucose in your blood drops below what is healthy for you.,"R004
R170"
SE110,A004,Anxiety,Not Specified,"Anxiety is a feeling of fear, dread, and uneasiness. It might cause you to sweat, feel restless and tense, and have a rapid heartbeat. It can be a normal reaction to stress.","R004
R171"
SE111,A004,Agitation,Not Specified,"Agitation is an unpleasant state of extreme arousal. An agitated person may feel stirred up, excited, tense, confused, or irritable.","R004
R172"
SE112,A004,Confusion,Not Specified,"Confusion is the inability to think as clearly or quickly as you normally do. You may feel disoriented and have difficulty paying attention, remembering, and making decisions.","R004
R173"
SE114,A004,Tremor,Not Specified,"A tremor is a neurological condition that includes shaking or trembling movements in one or more parts of your body. It most often affects the hands. But it can also affect the arms, legs, head, vocal cords, and torso (trunk). A tremor is involuntary, meaning that you cannot control it. It happens because of muscle contractions.","R004
R174"
SE115,A004,Paresthesia,Not Specified,"Paresthesia is an alternative name of Numbness and Tingling. These are abnormal sensations that can occur anywhere in your body, but they are often felt in your fingers, hands, feet, arms, or legs.","R004
R175"
SE116,A004,Vertigo,Not Specified,Vertigo is if you feel like you or the room are spinning.,"R004
R160"
SE117,A004,Abnormal Gait,Not Specified,"Walking abnormalities can be caused by many different types of problems. Problems with the joints, (such as arthritis), bones (such as deformities), circulation (such as peripheral vascular disease), or even pain can make it difficult to walk properly. Diseases or injuries to the nerves, muscles, brain, spinal cord, or inner ear can affect normal walking.","R004
R176"
SE118,A004,Somnolence,Not Specified,Somnolence is an alternative name of drowsiness. It refers to feeling more sleepy than normal during the day.,"R004
R177"
SE119,A004,Syncope,Not Specified,"Syncope is also called Fainting. It is a temporary loss of consciousness. If you're about to faint, you'll feel dizzy, lightheaded, or nauseous. Your field of vision may ""white out"" or ""black out."" Your skin may be cold and clammy. You lose muscle control at the same time, and may fall down.","R004
R178"
SE120,A004,Epistaxis,Not Specified,Epistaxis is an alternative name of nose bleed. It is a loss of blood from the tissue lining the nose. Bleeding most often occurs from one nostril only.,"R004
R179"
SE121,A004,Cardiac Arrest,Not Specified,"Cardiac arrest occurs when the heart suddenly stops beating. When this happens, blood flow to the brain and the rest of the body also stops. Cardiac arrest is a medical emergency. If it is not treated within a few minutes, cardiac arrest most often causes death.","R004
R180"
SE122,A004,Palpitation,Not Specified,"Palpitations are feelings or sensations that your heart is pounding or racing. They can be felt in your chest, throat, or neck.","R004
R181"
SE123,A004,Ventricular Tachycardia,Not Specified,Ventricular tachycardia (VT) is a rapid heartbeat that starts in the lower chambers of the heart (ventricles).,"R004
R182"
SE124,A004,Ventricular Arrhythmia,Not Specified,Venticular Fibrillation (VF) is a severely abnormal heart rhythm (arrythmia) that is life threatening.,"R004
R186"
SE125,A004,Gastritis,Not Specified,Gastritis occurs when the lining of the stomach becomes inflamed or swollen. Gastritis may last for only a short time (acute gastritis) or it may linger for month to years (chronic gastritis).,"R004
R187"
SE126,A004,Stomatitis,Not Specified,"Stomatitis is a viral infection of the mouth that causes sores and ulcers. These mouth ulcers are not the same as canker sores, which are not caused by a virus.","R004
R188"
SE127,A004,Pancreatitis,Not Specified,Pancreatitis is inflammation of the pancreas. It happens when digestive enzymes start digesting the pancreas itself. Pancreatitis can be acute or chronic. Either form is serious and can lead to complications.,"R004
R152"
SE128,A004,Esophagitis,Not Specified,"Esophagitis is a condition in which the lining of the esophagus becomes swollen, inflamed, or irritated. The esophagus is the tube that leads from your mouth to the stomach.","R004
R137"
SE129,A004,Gastroenteritis,Not Specified,"Gastroenteritis is an inflammation of the lining of the stomach and intestines. The main symptoms include vomiting and diarrhea. It is usually not serious in healthy people, but it can sometimes lead to dehydration or cause severe symptoms.","R004
R201"
SE130,A004,Glossitis,Not Specified,Glossitis is a problem in which the tongue is swollen and inflammed. This often makes the surface of the tongue appear smooth.,"R004
R135"
SE131,A004,Increased Hepatic Enzymes,Not Specified,"Hepatic lipase deficiency is a disorder that affects the body's ability to break down fats (lipids). People with this disorder have increased amounts of certain fats, known as triglycerides and cholesterol, in the blood. ","R004
R185"
SE133,A004,Urticaria,Not Specified,Urticaria is also called as Hives. It is a red and sometimes itchy bumps on your skin.,"R004
R141"
SE134,A004,Arthralgia,Not Specified,"Arthralgia is an alternative name of joint pain. It can affect one or more joints. Joint pain can be caused by many types of injuries or conditions. It may be linked to arthritis, bursitis, and muscle pain. ","R004
R191"
SE138,A004,Acute Renal Failure,Not Specified,Acute Renal Failure is an alternative name of Acute Kidney Failure. It is the rapid (less than 2 days) loss of your kidneys' ability to remove waste and help balance fluids and electrolytes in your body.,"R004
R192"
SE139,A005,Moniliasis,Common,"Moniliasis is also called yeast infections. t is a fungus that lives almost everywhere, including in your body. Usually, your immune system keeps yeast under control.","R005
R193"
SE140,A005,Insomnia,Common,"Insomnia is trouble falling asleep, staying asleep (usually through the night), or waking up too early in the morning. Episodes of insomnia may come and go or be long-lasting.","R005
R158"
SE141,A005,Headache,Common,Headache is the most common form of pain. It's a major reason people miss days at work or school or visit the doctor.,"R005
R159"
SE142,A005,Dizziness,Common,"When you're dizzy, you may feel lightheaded, woozy, or disoriented. Diziness usually gets better by itself or is easily treated.","R005
R160"
SE143,A005,Dyspnea,Common,Dyspnea is shortness of breath.,"R005
R161"
SE144,A005,Nausea,Common,"Nausea is when you feel sick to your stomach, as if you are going to throw up.","R005
R133"
SE145,A005,Diarrhea,Common,"Diarrhea is loose, watery stools (bowel movements).","R005
R134"
SE146,A005,Constipation,Common,"Constipation means having fewer than three bowel movements a week. The stool (poop) can be hard and dry. Sometimes it is painful to pass. At one time or another, almost everyone gets constipated. In most cases, it lasts a short time and is not serious.","R005
R162"
SE147,A005,Abdominal Pain,Common,Abdominal pain is pain that you feel anywhere between your chest and groin. This is often referred to as the stomach region or belly.,"R005
R163"
SE148,A005,Vomiting,Common,Vomiting is when you throw up.,"R005
R133"
SE149,A005,Dyspepsia,Common,Dyspepsia is also called as Indigestion. It's a feeling of discomfort or a burning feeling in your upper abdomen. You may have heartburn or belch and feel bloated. ,"R005
R164"
SE150,A005,Rash,Common,"A rash is an area of irritated or swollen skin. Many rashes are itchy, red, painful, and irritated. Some rashes can also lead to blisters or patches of raw skin.","R005
R165"
SE151,A005,Pruritus,Common,Pruritus is an alternative name for Itching. It is a tingling or irritation of the skin that makes you want to scratch the area. Itching may occur all over the body or only in one location.,"R005
R166"
SE152,A005,Vaginitis,Common,"Vaginitis, also called vulvovaginitis, is an inflammation or infection of the vagina. It can also affect the vulva, which is the external part of a woman's genitals. Vaginitis can cause itching, pain, discharge, and odor.","R005
R167"
SE153,A005,Edema,Common,"Edema means swelling caused by fluid in your body's tissues. It usually occurs in the feet, ankles and legs, but it can involve your entire body.","R005
R168"
SE154,A005,Chest Pain,Common,Chest pain is discomfort or pain that you feel anywhere along the front of your body between your neck and upper abdomen.,"R005
R189"
SE155,A005,Genital Moniliasis,Less Common,"Moniliasis is also called yeast infections. t is a fungus that lives almost everywhere, including in your body. Usually, your immune system keeps yeast under control.","R005
R193"
SE156,A005,Anemia,Less Common,Anemia is also called iron poor blood. Anemia is a condition in which the body does not have enough healthy red blood cells. Red blood cells provide oxygen to body tissues.,"R005
R190"
SE157,A005,Thrombocytopenia,Less Common,Thrombocytopenia means there is an abnormally low amount of platelets. Platelets are parts of the blood that help blood to clot. This condition is sometimes associated with abnormal bleeding.,"R005
R149"
SE159,A005,Hyperglycemia,Less Common,"Hyperglycemia means high blood glucose. It most often affects people who have diabetes. When you have diabetes, your body doesn't make enough insulin or can't use it the right way. Too much glucose stays in your blood and doesn't reach your cells.","R005
R169"
SE160,A005,Hypoglycemia,Less Common,Hypoglycemia means low glucose. It happens when the level of glucose in your blood drops below what is healthy for you.,"R005
R170"
SE161,A005,Hyperkalemia,Less Common,Hyperkalemia is an alternative name of high potassium level. It is a problem in which the amount of potassium in the blood is higher than normal.,"R005
R194"
SE162,A005,Anxiety,Less Common,"Anxiety is a feeling of fear, dread, and uneasiness. It might cause you to sweat, feel restless and tense, and have a rapid heartbeat. It can be a normal reaction to stress.","R005
R171"
SE163,A005,Agitation,Less Common,"Agitation is an unpleasant state of extreme arousal. An agitated person may feel stirred up, excited, tense, confused, or irritable.","R005
R172"
SE164,A005,Confusion,Less Common,"Confusion is the inability to think as clearly or quickly as you normally do. You may feel disoriented and have difficulty paying attention, remembering, and making decisions.","R005
R173"
SE165,A005,Depression,Less Common,Depression is more than a feeling of being sad or irritable for a few days. It's a serious mood disorder.,"R005
R195"
SE166,A005,Hallucination,Less Common,"Hallucinations involve sensing things such as visions, sounds, or smells that seem real but are not. These things are created by the mind.","R005
R196"
SE167,A005,Nightmare,Less Common,"A nightmare is a bad dream that brings out strong feelings of fear, terror, distress, or anxiety.","R005
R197"
SE168,A005,Sleep Disorder,Less Common,Sleep disorders are conditions that disturb your normal sleep patterns.,"R005
R198"
SE169,A005,Anorexia,Less Common,"Anorexia is an eating disorder that causes people to weigh less than is considered healthy for their age and height, usually by excessive weight loss.","R005
R132"
SE171,A005,Tremor,Less Common,"A tremor is a neurological condition that includes shaking or trembling movements in one or more parts of your body. It most often affects the hands. But it can also affect the arms, legs, head, vocal cords, and torso (trunk). A tremor is involuntary, meaning that you cannot control it. It happens because of muscle contractions.","R005
R174"
SE172,A005,Convulsions,Less Common,"Convulsions can also be called as Seizures. These are symptoms of a brain problem. They happen because of sudden, abnormal electrical activity in the brain. When people think of seizures, they often think of convulsions in which a person's body shakes rapidly and uncontrollably. ","R005
R199"
SE173,A005,Paresthesia,Less Common,"Paresthesia is an alternative name of Numbness and Tingling. These are abnormal sensations that can occur anywhere in your body, but they are often felt in your fingers, hands, feet, arms, or legs.","R005
R175"
SE174,A005,Vertigo,Less Common,Vertigo is if you feel like you or the room are spinning.,"R005
R160"
SE175,A005,Hypertonia,Less Common,Hypertonia is increased muscle tone.,"R005
R200"
SE177,A005,Abnormal Gait,Less Common,"Walking abnormalities can be caused by many different types of problems. Problems with the joints, (such as arthritis), bones (such as deformities), circulation (such as peripheral vascular disease), or even pain can make it difficult to walk properly. Diseases or injuries to the nerves, muscles, brain, spinal cord, or inner ear can affect normal walking.","R005
R176"
SE178,A005,Somnolence,Less Common,Somnolence is an alternative name of drowsiness. It refers to feeling more sleepy than normal during the day.,"R005
R177"
SE179,A005,Syncope,Less Common,"Syncope is also called Fainting. It is a temporary loss of consciousness. If you're about to faint, you'll feel dizzy, lightheaded, or nauseous. Your field of vision may ""white out"" or ""black out."" Your skin may be cold and clammy. You lose muscle control at the same time, and may fall down.","R005
R178"
SE180,A005,Epistaxis,Less Common,Epistaxis is an alternative name of nose bleed. It is a loss of blood from the tissue lining the nose. Bleeding most often occurs from one nostril only.,"R005
R179"
SE181,A005,Cardiac Arrest,Less Common,"Cardiac arrest occurs when the heart suddenly stops beating. When this happens, blood flow to the brain and the rest of the body also stops. Cardiac arrest is a medical emergency. If it is not treated within a few minutes, cardiac arrest most often causes death.","R005
R180"
SE182,A005,Palpitation,Less Common,"Palpitations are feelings or sensations that your heart is pounding or racing. They can be felt in your chest, throat, or neck.","R005
R181"
SE183,A005,Venticular Tachycardia,Less Common,Ventricular tachycardia (VT) is a rapid heartbeat that starts in the lower chambers of the heart (ventricles).,"R005
R182"
SE184,A005,Venticular Arrhythmia,Less Common,Venticular Fibrillation (VF) is a severely abnormal heart rhythm (arrythmia) that is life threatening.,"R005
R186"
SE185,A005,Phlebitis,Less Common,,R005
SE186,A005,Gastritis,Less Common,Gastritis occurs when the lining of the stomach becomes inflamed or swollen. Gastritis may last for only a short time (acute gastritis) or it may linger for month to years (chronic gastritis).,"R005
R187"
SE187,A005,Stomatitis,Less Common,"Stomatitis is a viral infection of the mouth that causes sores and ulcers. These mouth ulcers are not the same as canker sores, which are not caused by a virus.","R005
R188"
SE188,A005,Pancreatitis,Less Common,Pancreatitis is inflammation of the pancreas. It happens when digestive enzymes start digesting the pancreas itself. Pancreatitis can be acute or chronic. Either form is serious and can lead to complications.,"R005
R152"
SE189,A005,Esophagitis,Less Common,"Esophagitis is a condition in which the lining of the esophagus becomes swollen, inflamed, or irritated. The esophagus is the tube that leads from your mouth to the stomach.","R005
R137"
SE190,A005,Gastroenteritis,Less Common,"Gastroenteritis is an inflammation of the lining of the stomach and intestines. The main symptoms include vomiting and diarrhea. It is usually not serious in healthy people, but it can sometimes lead to dehydration or cause severe symptoms.","R005
R201"
SE191,A005,Glossitis,Less Common,Glossitis is a problem in which the tongue is swollen and inflammed. This often makes the surface of the tongue appear smooth.,"R005
R135"
SE192,A005,Pseudomembranous / C. difficile colitis,Less Common,,R005
SE193,A005,Abnormal Hepatic Function,Less Common,,R005
SE194,A005,Increased Hepatic Enzymes,Less Common,"Hepatic lipase deficiency is a disorder that affects the body's ability to break down fats (lipids). People with this disorder have increased amounts of certain fats, known as triglycerides and cholesterol, in the blood. ","R005
R185"
SE196,A005,Urticaria,Less Common,Urticaria is also called as Hives. It is a red and sometimes itchy bumps on your skin.,"R005
R141"
SE197,A005,Arthralgia,Less Common,"Arthralgia is an alternative name of joint pain. It can affect one or more joints. Joint pain can be caused by many types of injuries or conditions. It may be linked to arthritis, bursitis, and muscle pain. ","R005
R191"
SE198,A005,Tendonitis,Less Common,,R005
SE202,A005,Acute Renal Failure,Less Common,Acute Renal Failure is an alternative name of Acute Kidney Failure. It is the rapid (less than 2 days) loss of your kidneys' ability to remove waste and help balance fluids and electrolytes in your body.,"R005
R192"
SE203,A006,Irreversible Peripheral Neuropathy,Not Specified,,R006
SE204,A006,Central Nervous System Toxicity,Not Specified,,R006
SE205,A006,Cardiovascular Toxicity,Not Specified,,R006
SE206,A006,Tendon/Articular Toxicity,Not Specified,,R006
SE207,A006,Hepatic Toxicity,Not Specified,,R006
